session_start,session_type,session_dow,leg,strike,option_type,position,entry_price,expiry,contracts,spot_at_expiry,exit_price,pnl
2023-01-10 08:00:00+00:00,weekday,tuesday,atm_call,17250.0,C,long,0.003,2023-01-11 08:00:00+00:00,1,17449.45,0.011430159689847,147.10165000000072
2023-01-10 08:00:00+00:00,weekday,tuesday,atm_put,17250.0,P,long,0.006,2023-01-11 08:00:00+00:00,1,17449.45,0.0,-104.6967
2023-02-10 08:00:00+00:00,weekday,friday,atm_call,22000.0,C,long,0.005,2023-02-11 08:00:00+00:00,1,21688.72,0.0,-108.4436
2023-02-10 08:00:00+00:00,weekday,friday,atm_put,22000.0,P,long,0.009,2023-02-11 08:00:00+00:00,1,21688.72,0.014352160938958077,116.08151999999885
2023-02-15 08:00:00+00:00,weekday,wednesday,atm_call,22000.0,C,long,0.011,2023-02-16 08:00:00+00:00,1,24583.39,0.1050868086134581,2312.9727099999996
2023-02-15 08:00:00+00:00,weekday,wednesday,atm_put,22000.0,P,long,0.0055,2023-02-16 08:00:00+00:00,1,24583.39,0.0,-135.208645
2023-03-05 08:00:00+00:00,weekend,sunday,atm_call,22250.0,C,long,0.009,2023-03-06 08:00:00+00:00,1,22415.62,0.007388597772446133,-36.12058000000099
2023-03-05 08:00:00+00:00,weekend,sunday,atm_put,22250.0,P,long,0.004,2023-03-06 08:00:00+00:00,1,22415.62,0.0,-89.66248
2023-03-28 08:00:00+00:00,weekday,tuesday,atm_call,27000.0,C,long,0.01,2023-03-29 08:00:00+00:00,1,28095.96,0.03900774346204932,815.0003999999991
2023-03-28 08:00:00+00:00,weekday,tuesday,atm_put,27000.0,P,long,0.012,2023-03-29 08:00:00+00:00,1,28095.96,0.0,-337.15152
2023-04-04 08:00:00+00:00,weekday,tuesday,atm_call,28000.0,C,long,0.011,2023-04-05 08:00:00+00:00,1,28539.73,0.01891153139851006,225.79296999999954
2023-04-04 08:00:00+00:00,weekday,tuesday,atm_put,28000.0,P,long,0.009,2023-04-05 08:00:00+00:00,1,28539.73,0.0,-256.85756999999995
2023-04-05 08:00:00+00:00,weekday,wednesday,atm_call,28500.0,C,long,0.0105,2023-04-06 08:00:00+00:00,1,27927.36,0.0,-293.23728
2023-04-05 08:00:00+00:00,weekday,wednesday,atm_put,28500.0,P,long,0.009,2023-04-06 08:00:00+00:00,1,27927.36,0.02050462342305178,321.2937599999994
2023-04-20 08:00:00+00:00,weekday,thursday,atm_call,29000.0,C,long,0.007,2023-04-21 08:00:00+00:00,1,28156.53,0.0,-197.09571
2023-04-20 08:00:00+00:00,weekday,thursday,atm_put,29000.0,P,long,0.011,2023-04-21 08:00:00+00:00,1,28156.53,0.02995646125428102,533.7481700000012
2023-04-23 08:00:00+00:00,weekend,sunday,atm_call,27750.0,C,long,0.0055,2023-04-24 08:00:00+00:00,1,27452.08,0.0,-150.98644
2023-04-23 08:00:00+00:00,weekend,sunday,atm_put,27750.0,P,long,0.007,2023-04-24 08:00:00+00:00,1,27452.08,0.010852365285253367,105.75543999999826
2023-04-25 08:00:00+00:00,weekday,tuesday,atm_call,27250.0,C,long,0.0075,2023-04-26 08:00:00+00:00,1,28379.32,0.03979376531925359,916.4750999999998
2023-04-25 08:00:00+00:00,weekday,tuesday,atm_put,27250.0,P,long,0.0075,2023-04-26 08:00:00+00:00,1,28379.32,0.0,-212.8449
2023-04-26 08:00:00+00:00,weekday,wednesday,atm_call,28500.0,C,long,0.012,2023-04-27 08:00:00+00:00,1,28901.46,0.013890647738903125,54.64247999999911
2023-04-26 08:00:00+00:00,weekday,wednesday,atm_put,28500.0,P,long,0.006,2023-04-27 08:00:00+00:00,1,28901.46,0.0,-173.40876
2023-04-27 08:00:00+00:00,weekday,thursday,atm_call,29000.0,C,long,0.009,2023-04-28 08:00:00+00:00,1,29505.58,0.017135063943837122,240.02978000000175
2023-04-27 08:00:00+00:00,weekday,thursday,atm_put,29000.0,P,long,0.0125,2023-04-28 08:00:00+00:00,1,29505.58,0.0,-368.81975000000006
